ResellerKey,GeographyKey,ResellerAlternateKey,Phone,BusinessType,ResellerName,AnnualRevenue,YearOpened,AddressLine1,AddressLine2,AnnualSales,BankName,MinPaymentType,MinPaymentAmount,NumberEmployees,OrderFrequency,OrderMonth,FirstOrderYear,LastOrderYear,ProductLine
51,28,AW00000051,1 (11) 500 555-0133,Warehouse,Ideal Components,300000,1988,2-252 Beauchamp Road,Botany Bay Industrial Estate,3000000,International Security,2,NULL,82,Q,6,2013,2013,Touring
54,520,AW00000054,140-555-0128,Warehouse,Larger Cycle Shop,300000,1993,Attn: Accounts Payable,44 Main Place,3000000,Primary Bank & Reserve,2,NULL,83,Q,6,2011,2013,Road
88,260,AW00000088,1 (11) 500 555-0173,Value Added Reseller,Closest Bicycle Store,80000,1980,"Garamonde Drive, Wymbush",PO Box 4023,800000,United Security,1,NULL,12,S,6,2013,2013,Mountain
90,602,AW00000090,572-555-0156,Warehouse,Sales and Supply Company,300000,1984,Corporate Ofc A/p,123 Fourth Ave,3000000,Guardian Bank,1,NULL,95,Q,6,2012,2013,Road
114,360,AW00000114,397-555-0144,Specialty Bike Shop,Two Wheels Cycle Store,80000,1982,77 Beale Street,Room 99767c,800000,International Security,3,600,13,A,6,2011,2011,Road
176,170,AW00000176,1 (11) 500 555-0163,Value Added Reseller,Rodeway Bike Store,30000,1980,Winterfeldtstr 5557,Kreditorenbuchhaltung,300000,International Bank,1,NULL,4,S,6,2013,2013,Mountain
267,35,AW00000267,1 (11) 500 555-0179,Value Added Reseller,Cycle Parts and Accessories,80000,1989,Level 99,12 South 10th Avenue,800000,International Bank,2,NULL,10,S,6,2013,2013,Touring
273,590,AW00000273,686-555-0180,Value Added Reseller,A Typical Bike Shop,30000,1986,"One Dancing, Rr No. 25",Box 8033,300000,Reserve Security,3,200,8,S,6,2011,2011,Road
340,274,AW00000340,1 (11) 500 555-0195,Value Added Reseller,Nearby Cycle Shop,80000,1998,Burgess Hill,Edward Way,800000,United Security,2,NULL,14,S,6,2012,2013,Mountain
483,14,AW00000483,1 (11) 500 555-0123,Specialty Bike Shop,Fitness Bike Accessories,150000,1990,Level 7,114 Albert Road,1500000,Reserve Security,2,NULL,47,A,6,2013,2013,Touring
616,8,AW00000616,1 (11) 500 555-0151,Specialty Bike Shop,Eastward Bike Accessories,150000,1978,Level 7,201 Sussex Street,1500000,Reserve Security,1,NULL,39,A,6,2013,2013,Touring
633,116,AW00000633,1 (11) 500 555-0144,Value Added Reseller,Rustic Bike Store,80000,1980,Buergermeister-ulrich-str 3000,Buchhaltung,800000,Primary International,1,NULL,12,S,6,2013,2013,Touring
640,30,AW00000640,1 (11) 500 555-0196,Specialty Bike Shop,Liquidation Sales,150000,1994,No. 6,Millenium Court,1500000,Primary International,1,NULL,31,A,6,2013,2013,Touring
682,10,AW00000682,1 (11) 500 555-0182,Value Added Reseller,Popular Bike Lines,80000,1991,Level 7,80 Arthur Street,800000,Primary International,1,NULL,17,S,6,2013,2013,Touring
688,18,AW00000688,1 (11) 500 555-0191,Value Added Reseller,Bike Part Wholesalers,80000,2003,254a Baker Street,Botany,800000,International Security,1,NULL,15,S,6,2013,2013,Touring
4,572,AW00000004,710-555-0173,Value Added Reseller,Modular Cycle Systems,30000,1980,800 Interchange Blvd.,Suite 2501,300000,United Security,3,600,5,S,4,2011,2013,Road
34,272,AW00000034,1 (11) 500 555-0181,Value Added Reseller,Cycles Wholesaler & Mfg.,80000,2003,"Science Park South, Birchwood",Stanford House,800000,Guardian Bank,NULL,NULL,15,S,4,2012,2013,Touring
50,114,AW00000050,1 (11) 500 555-0112,Specialty Bike Shop,Hometown Riding Supplies,150000,1995,Bundesallee 9571,Rechnungsstelle - C 035,1500000,International Bank,1,NULL,46,A,10,2013,2013,Mountain
131,317,AW00000131,785-555-0163,Value Added Reseller,Eighth Bike Store,80000,1979,2500 N Serene Blvd,19th Floor,800000,Primary Bank & Reserve,2,NULL,19,S,5,2013,2013,Touring
178,270,AW00000178,1 (11) 500 555-0193,Warehouse,Rampart Amusement Company,300000,1979,Bradford,"Raven House, Kingsgate",3000000,Primary International,1,NULL,88,Q,5,2013,2013,Touring
196,260,AW00000196,1 (11) 500 555-0126,Warehouse,Exhibition Showroom,300000,1978,"Garamonde Drive, Wymbush",P.O. Box 803,3000000,Reserve Security,3,1000,94,Q,4,2012,2013,Mountain
213,38,AW00000213,1 (11) 500 555-0168,Specialty Bike Shop,Fast Bike Works,100000,1975,Level 100,77 Southbank Boulevard,1000000,Primary International,3,600,28,A,5,2013,2013,Touring
271,645,AW00000271,164-555-0147,Specialty Bike Shop,Alternative Vehicles,150000,1987,3307 Evergreen Blvd,Ste 1071,1500000,Primary Bank & Reserve,2,NULL,45,A,5,2011,2011,Road
339,8,AW00000339,1 (11) 500 555-0180,Warehouse,Major Bicycle Store,150000,1996,Level 6,538 Climbing Street,1500000,Primary International,3,1000,49,Q,8,2013,2013,Touring
393,9,AW00000393,1 (11) 500 555-0155,Warehouse,Gears and Parts Company,300000,1987,2nd Floor,55 Lavender Street,3000000,International Bank,3,600,87,Q,5,2013,2013,Touring
465,17,AW00000465,1 (11) 500 555-0137,Specialty Bike Shop,Expert Cycle Store,150000,1999,Orwith Center,39 Herbert Street,1500000,Primary International,2,NULL,37,A,NULL,NULL,NULL,Touring
482,115,AW00000482,1 (11) 500 555-0186,Value Added Reseller,"Fabrikam Inc., East",80000,1997,Roástr 9938,Verkaufsabteilung,800000,Guardian Bank,3,200,11,S,4,2012,2013,Road
518,125,AW00000518,1 (11) 500 555-0132,Value Added Reseller,Regional Cycle Shop,30000,1979,Karl Liebknecht str 399,Leiter der Abteilung,300000,Reserve Security,NULL,NULL,8,S,3,2013,2013,Road
519,35,AW00000519,1 (11) 500 555-0114,Specialty Bike Shop,List Price Catalog Company,150000,1992,Level 25,96 Lytton Rd.,1500000,International Bank,1,NULL,35,A,5,2013,2013,Touring
